ds_cargo,cd_municipio,nm_municipio,nr_turno,sg_uf,nr_zona,qt_secoes_agregadas,qt_aptos_tot,qt_comparecimento,qt_votos_nom_validos,qt_votos_brancos,qt_total_vt_leg_validos,qt_total_votos_anulados,qt_votos_validos,qt_votos,qt_total_votos_nulos
Presidente,38776,SÃO DESIDÉRIO,1,BA,100,11,24739,20250,19560,179,0,0,19560,20250,511
Presidente,38792,SÃO FÉLIX,1,BA,118,2,10673,8438,8074,137,0,0,8074,8438,227
Presidente,38806,SÃO DOMINGOS,1,BA,120,1,7902,6562,6290,81,0,0,6290,6562,191
Presidente,38814,SÃO FELIPE,1,BA,184,13,17761,13980,13374,207,0,0,13374,13980,399
Presidente,38822,SÃO FÉLIX DO CORIBE,1,BA,72,5,12494,10128,9633,102,0,0,9633,10128,393
Presidente,38830,SÃO FRANCISCO DO CONDE,1,BA,162,3,32861,26836,25656,388,0,0,25656,26836,792
Presidente,38857,SÃO GONÇALO DOS CAMPOS,1,BA,108,6,29406,24328,23187,340,0,0,23187,24328,801
Presidente,38865,SÃO JOSÉ DO JACUÍPE,1,BA,191,0,8806,6585,6126,134,0,0,6126,6585,325
Presidente,38873,SÃO MIGUEL DAS MATAS,1,BA,36,2,9363,7710,7382,69,0,0,7382,7710,259
Presidente,38881,BELMOPAN,1,ZZ,1,0,11,0,0,0,0,0,0,0,0
Presidente,38890,SÃO SEBASTIÃO DO PASSÉ,1,BA,128,0,35161,27876,26615,338,0,0,26615,27876,923
Presidente,38903,CONACRI,1,ZZ,1,0,2,0,0,0,0,0,0,0,0
Presidente,38911,SAPEAÇU,1,BA,142,12,15402,12736,12096,199,0,0,12096,12736,441
